position,skills
Software Developer,"Javascript,C++,XML,bca,technical,analytical,software,HTML,mca,scripting,java,ui,Coding,design,oops,api,Ajax,development,ux,testing,CMS,mobile,it,Android,quality,jQuery,application,agile,SEO,applications"
Recruitment Manager,"Screening,Interview Scheduling,Healthcare Consulting,Sourcing,HR,Interviewing,MS Office,Recruitment,Talent Acquisition"
Sales Executive/Officer,"Retail,Sales,Sales Executive"
Accounts Manager,"Business Development Management,Corporate Sales"
System Security,"Supervisor,Team management,Information security,Manual,Vulnerability assessment,Monitoring,Penetration testing"
Financial Accountant,"Fixed Assets,Mba Finance,General Accounting,Payables,Accounts Receivable,Taxation,Bank Reconciliation,Accounts Payable,Cash Flow Statement,Auditing"
Sales Executive/Officer,"Agency Sales,Agent Recruitment,Insurance Sales,Insurance Broking,Motor Insurance,general insurance,Agency Channel"
Associate/Senior Associate -(NonTechnical),"Operations management,English language,Query resolution,Senior Executive,Resourcing,Schedule,Time,Language skills,Business Executive,functional support"
Associate/Senior Associate -(Technical),"Customer Service,Help Desk,Information,Telephony support,customer relationship,access controls,Vendor Management,Asset Management"
Software Developer,"Backend,Hadoop,Developer"
Marketing Manager,"Help Desk,Customer Service,customer relationship,access controls,Asset Management,Vendor Management"
Software Developer,Node.js
Team Lead/Technical Lead,"Memory management,Linux kernel,Embedded Linux,Device driver development,Technical Lead,Dma,QNX,Automotive,Android"
Software Developer,"Software development methodologies,Microsoft Sharepoint,Design development,development,C,software,Programming,mobile,E-commerce,microsoft,quality,Web technologies,java,web,devops,struts,design,Web designing,AWS"
Operations Manager,"Social media marketing,google apps,MS Office Word,Operations management,Excel,IT support,Business management,Client relationship,Powerpoint"
Software Developer,"Technical,Project management,Tools,Ideas,Management,Client servicing,Business Executive,Design development,Software"
Software Developer,"Research,SEO"
HR Executive,"Induction,PMS,Hiring,Sourcing,HR,Interviewing,Training Coordination,Recruitment"
Accounts Executive/Accountant,"Accounting,Accounts Payable,Accounts Receivable,Finance,Financial Reporting,Returns,Cash Management,Gst"
Construction-Construction Management,"Project Execution,Project Management,SCOPE"
Marketing Research Executive/Manager,"Customer service,Analytics,Performance management,Administration,operational support,performance measurement,Multivariate analysis,Research,Consumer insights,Senior Customer Service Executive"
Software Developer,"Unix,Linux,PHP,development,software,configuration,Configuration management,Perl,Windows,tools,cloud,scripting,database,GIT,automation,MySQL,Agile,Python"
Sales Executive/Officer,"marketing,B2B,Sales,Appliances,Electronics,B2B Sales,Sales Executive Activities"
Data Analyst,"SAS,Python,Analytics,Data Analytics,Statistics,Machine Learning,Data Modeling"
Direct Marketing Executive,"Generation,Revenue,Client,Acquisition,Marketing"
Software Developer,"Eclipse,OOPS,Android Development,JSON,SOAP,Core Java,java,XML,Android SDK,sdk,Android Studio"
Accounts Executive/Accountant,"MCOM,Bcom,TDS,PT,Finance,Gst,Accounts Receivable,Bank Reconciliation,Accounts Payable"
Construction-Heavy,"ITI,Civil engineering,Labour,Civil construction,Site Supervisor,Technical,Business Executive,BASIC"
Software Developer,"c#,mvvm,Unit Testing,nunit,xml,.net,enterprise architect,wpf,c#.net,sql server"
Technical Lead/Project Lead,"Design,process,process engineer,process engineering"
Sales Executive/Officer,"Lead generation,Word,Excel,Conversions,MS Outlook,Management,MS Office,Powerpoint,Verbal communication,CRM"
Testing Engineer,"C#,Performance Testing,Test Automation,Software Product Development,OOAD,Computer Science,Object Oriented Design,.Net,High Frequency Trading,Test Cases,Testing"
Dean / Director,"Teaching,Educator,Counselor,Mentor,Trainer,Advisor"
Front Office/Guest Relations Executive/Manager,"Facility management,Front office,Housekeeping,English,Software services,Laptop,Senior Manager Administration,Recruitment,Software,Management"
Associate/Senior Associate -(NonTechnical),"Business Communication,Fixing Appointments,lead generation,telecalling"
Software Developer,"REST,JSON,Android SDK"
Associate/Senior Associate -(NonTechnical),"Hr Compliance,Contact Center,US Payroll,Voice Process,Call Center,Communication Skills,Vendor Management,Shared Services,HR Operations,Customer Experience"
Electrical Engineer-Industrial,"Procurement,Electrical engineering,Interpersonal skills,Interdepartmental coordination,Concept design,Claims,Contract administration,Electricals,Cable sizing"
Team Lead/Technical Lead,"Administration,Sales,Operational risk,Compliance,Legal,product life cycle,Management,Technology operations,Auditing"
Sales Executive/Officer,Inside Sales
Associate/Senior Associate -(Technical),"Outbound,process,Technical,Inbound calls,Domestic BPO,Service,Bonus,Business Executive,Technical support,Comp"
Technical Support Engineer,"Procurement,Onsite support,Training,Software Support Executive,Statistics,Relationship Executive,Basic"
Sales/Business Development-Manager,"Sales,Business Development,New Business,Business Generation,Training,Mapping,Customer Satisfaction"
Direct Marketing Manager,"Entry Level,Publishing,Trainee,Education,Technology,Database,Journalism,sales strategy,Research,market research"
System Security,"networking protocols,firewall,fortinet,checkpoint,juniper,intrusion detection,vpn,log analysis,information security"
Fresher,"Social Media,Content Writing,creative writing,Writer,Content Writer,Content Developer,Social Media Marketing,Content Development,Content Marketing"
Fresher,"bpo,Inbound Process,Customer Service,Incentives,International Call Center,cce,inbound,Computer Operating,Calling,Voice Process,Non Voice,Data Entry,Customer Care Executive,Back Office,Telecalling,Customer Care,Domestic BPO,Chat"
Software Developer,"CSS,Html5,MySQL,Javascript,CakePHP,JSON,JQuery,Core PHP,Codeigniter,Ajax"
Assistant Professor,"Counselor,Mentor,Trainer,Advisor,Teaching"
Regional Manager,"Service delivery,Corporate relations,Automobile,automobile production,Sales,Corporate,Production,Database,Event marketing"
Software Developer,"CRM,ERP,Instrumentation,Monitoring,SOA,Computer science,JSP,Core Java,Business Executive,Web services"
Team Lead/Technical Lead,"CSS,Consulting,Hibernate,Technical support,JSON,Application development,Front end,IT management,Analytical,continuous integration"
Project Manager-Production/Manufacturing/Maintenance,"contract management,risk management,project management,project controller,project manager,claim management,hydro power"
Team Lead/Technical Lead,"c#,software development,web services,Design Patterns,Code Review,vb.net,jquery,javascript,sql server,jscript,.Net,MVC"
Software Developer,"C#,XAML,MVVM,OOPS,JSON,MVC,WPF,PRISM,Framework"
Associate/Senior Associate -(NonTechnical),"BPO,Customer Service,Technical Support,Non Voice,Inbound,International BPO"
Team Lead/Technical Lead,"Bfsi,Monitoring,Operations,Management,Banking,Manual,debit,UAT"
Associate/Senior Associate -(NonTechnical),"Technical Support Associate,Sales Associate,Technical support,Issue,Inbound process,Inbound calls,Bonus,US shift,Software"
HR Manager,"Linux,Broking,XML,MySQL,PHP,HTML,Forecasting,Monitoring,SQL,Recruitment"
HR Executive,"Leadership,Performance Improvement,Employee Relations,Performance Management,Talent Management,employee welfare,grievances handling,Talent Acquisition"
Software Developer,"CSS,Front End,Financial Services,Software Engineering,Finance,HTML,Engineering Services"
Software Developer,"Javascript,CSS,HTML,UI Development,Angularjs,Html5,JSON,Rest,GIT,Agile Development"
Software Developer,"technical support,application software support,trade support,coding,application support,production support"
Software Developer,"XML,MySQL,Android,Troubleshooting,Eclipse,JSON,SMS,SDK,SQLite,Web services"
Accounts Executive/Accountant,"Accounting,Finance,Financial Reporting,General Ledger"
Sales/Business Development Manager,"Back Office Executive,Front office,Heavy machinery,C,Industrial products,Labour laws,Consulting,HR,Recruitment,Data entry"
Software Developer,"PHP,Javascript,MySQL,Ajax,jQuery,iPhone,Apache,Eclipse,Layout,SQLite,html,sql,c,development,.net,design,java,j2ee,ios,html5,architecture,developer,swift,usability,net,code,cocoa,mobile,it"
Business/EDP Analyst,"Google Analytics,RDBMS,Analytical,Network security,Data Analyst,HTTP,System software,Data warehousing,SQL,Python"
Software Developer,"Java,Testng,Python,Software Quality,Software Development,Debugging,Test Planning,Quality Engineering,Problem Solving,Software,Devops"
R&D Executive,"Organic chemistry,Biotechnology,MIN,Chemical,Microbiology,qaqc,Chemical research,Biochemistry,HR"
Sales Coordinator,"Customer Support,sales coordination,sales support,Order Processing"
Business Analyst,"Requirement Gathering,SQL,Gap Analysis,Business Analysis,UAT,Visio,Data Analysis,New Business,Excel,Reporting Tools"
Recruitment Manager,"Executive Search,Searching,Hiring,Sourcing,Leadership Hiring,HR,Mapping,Human Capital,Recruitment,Talent Acquisition"
Software Developer,"C#,C++,Design Patterns,Data Structures,OOAD,STL,MFC,Agile Methodology,Multithreading,Algorithms,jenkins,.Net"
Testing Engineer,"Computer science,AUTOSAR,Automation,Communication protocols,CAPL,Configuration management,Debugging,Test cases,Automotive,Testing"
Other,"Recruitment,H1B,C2C,W2,Bench Sales,Screening,IT Marketing,Lead Generation"
Associate/Senior Associate -(NonTechnical),"Ticketing,Reservation,Flight,Galileo,crs,Amadeus,Worldspan,IATA,travel,Back Office,international"
Software Developer,"tso,jcl,cobol,cics,vsam"
Medical Officer,"Medical Microbiology,Biotechnology,Zoology,Biochemistry,Biology,Medical Coder,Medical Coding,Dayshifts,Medical,Biomedical"
Pre Sales Consultant,"RFPS,Business Process Management,Sales Engineering,Enterprise Software,POC,Dlp,Mba,Software Solutions,IT Infrastructure,IT Security"
System Administrator,"tech support,Technical Support Associate,Technical Support Executive,wan,networking,ITIL,IT Support,service desk,Desktop Support,Technical Support,LAN,it helpdesk"
Telesales/Telemarketing Executive/Officer,"Sales Executive Activities,Inbound Customer Service,Telesales,Service Sales,Calling,telecalling"
Business Alliances Manager,"Procurement,Trade,Customer satisfaction,Customer service,Service marketing,Machine tools,Marketing Associate,Technical support,CRM,Logistics"
Telecalling/Telemarketing Executive,"customer care,cce,tele caller,telecalling,telesales,outbound sales,outbound calling,tele calling,counselling,counsellor,student advisor"
Travel Agent,"Communication Skills,Telesales,Sales Executive Activities"
Team Lead/Technical Lead,"guru,bde,online bidding,bidding,software,business development manager,corporate sales,internet marketing,business generation,inside sales,website sales,b2b sales,web technologies,software sales,web development,it sales"
Software Developer,"c#,asp.net,wcf,mvc,wpf,sql server"
Associate/Senior Associate -(NonTechnical),"Japanese,Business process,Pharma,Aerospace,German,French,Spanish,Computer vision,Customer experience,Compliance"
Key Account Manager,"Media Sales,Sales,Key Account Management,B2B Sales,Corporate Sales"
Marketing Manager,"Media planning,Digital marketing,SEM,Recruitment,Google AdWords,SMO,Google Analytics,Staffing,digital strategy,Strategic planning"
Software Developer,"Backend,Front End,Wordpress,PHP"
Design Engineer/Manager,"Part Modeling,Design Engineering,Sheet Metal,Drafting,Assembly,fabrication,heavy engineering"
Area / Territory Manager,"project sales,institutional sales,direct sales"
DBA,"Db2,IMS,Module,Project delivery,Entry level,Lead Administrator,Language skills,Application,Manager Technology"
Software Developer,"Technical product configuration,design,integration PHP,MySQL,HTML,C,c++,JavaScript,jquery,sql,development,design,tools,j2ee,unix,css,software,microsoft,application,database,apache,cloud,spring,middleware,web,aws,messaging"
Program Manager,"SDLC,Consulting,Enterprise applications,Functional testing,Data migration,Logistics,Business operations,Business strategy,SOW,Continuous improvement"
Mathematics Teacher,"IT Skills,Communication Skills,Presentable"
Sales/Business Development Manager,"Direct sales,Customer service,Post sales,Acquisition,Relationship Manager Sales,After sales service,Business loan,Finance,Interviewing,UPS"
Project Manager-IT/Software,"data center,mcse,ccna,oem,pmp trained,UNIX,Linux,Servers,Network,Storage,Backup"
Testing Engineer,"Devops,AWS"
DBA,"Computer science,Performance tuning,Linux,Solaris,Coding,Application development,Troubleshooting,Data warehousing,Unix shell scripting,RMAN"
Client Servicing/Key Account Manager,"Credit Officers,Risk Management,Administration,Report Generation,Policies,Analysts,analytical skills"
Associate/Senior Associate -(NonTechnical),"Group,process,B2B,Outbound process,Bonus,Time,Open"
Associate/Senior Associate -(Technical),"Time management,MS Outlook,Scheduling,Budgeting,Visio,Event planning,Customer experience,space planning,Logistics,Group management"
Team Lead/Technical Lead,"demand generation,requirement gathering,business transformation,competitive analysis,gap analysis,project implementation,content management,rpa,process automation"
HR Executive,"HR Generalist Activities,Recruitment,Joining Formalities,Selection,Interviewing,Interview Scheduling"
Software Developer,"jQuery,Programming,Javascript,Entity framework,ASP.Net,.Net,MVC"
Recruitment Executive,"hiring,it services,permanent staffing"
Software Developer,"Unix,Computer science,Software design,Linux,MySQL,DNS,Data structures,Perl,HTTP,Python"
Management Information Systems(MIS)-Manager,"MIS reporting,Good in Excel,mis,People Soft,Invoicing"
"Roles and responsibilitiesÂ  Effectively handling processes and compliance of the customer service department. Identifying areas of the possible discrepancies in the claims using intimation data. Close co-ordination with the surveyor to convey the discrepancies. Specification of loss prevention recommendations Active support of internal and external training and knowledge management initiatives Developing and implementing claims technical policies and procedures such as quality audit, cost minimization techniques. Working collaboratively with other business units to achieve division and business unit goals Salary: INR 3,00,000 - 4,75,000 PA. Industry: Insurance Functional Area: Other","Training,Quality Audit,Loss Prevention,Knowledge Management,Customer Service Management"
Sales Executive/Officer,"Retail,Sales,Business Development"
Workman/Foreman/Technician,"Business Intelligence,Six Sigma,Production,Maintainence,Manufacturing,Manager,Supply Chain,Logistics"
Unit Manager,"Target Achievement,Team Coaching,Product Sales,Partner Management,Technical Support,Third Party Products,Product Marketing,Sales Management,Market Intelligence,Health Insurance"
Marketing Manager,"creative communication,Housing loan,Social media,Messaging,Campaigns,Management,Branding,Digital marketing,Search engine optimization,CPL"
Software Developer,"c#,project development,web technologies,.net,project execution,agile,angularjs,sql"
Trainer,"corporate training,Corporate Trainer,Hiring,Trainer,Training Management"
Software Developer,"UI,Ajax,JSP,JSF,ExtJS,Layout,Facebook,Prototyping,Email,Word"
Software Developer,"Python,Postgres,MongoDB"
Software Developer,OSI PI
Fresher,"sales,Sales Process,Verbal Communication,Communication Skills,Monthly Reports"
Software Developer,"SQL Development,AutoSys,Application Support,VB SCRIPT,Health Insurance,SQL Server,Technical Support,Financial Markets,Client Support,Business Applications"
Software Developer,"Troubleshooting,SQL,Python,rest,development,solid,technical,software,Business research,Debugging,android,mobile,JSON,research,Web technologies,web,design,developer,Selenium,Android SDK,sdk,web crawling,programming"
Software Developer,"SSIS,SSRS,SSAS,MSBI,SQL,Stored Procedures"
Physiotherapist,"critical care,Consultant,medicine,ICU,hospital,resident"
Software Developer,"automation framework,System testing,Manual testing,Test scripts,Testing tools,Product design,Life sciences,Selenium,JIRA,Python"
Recruitment Executive,"Online Promotion,Part Time,HR,Bulk Hiring,Recruitment,Online Marketing,Advertising,Mba,MCA,b.tech,Bba,MCOM"
Associate/Senior Associate -(NonTechnical),"Customer Support,Customer Service,Sales Coordination,After Sales Service"
R&D Executive,"Abaqus,Thermal engineering,Project management,Analytical,Ansys,thermal,Siemens,Engineering Design,Structural analysis,FE analysis"
Sales/Business Development Manager,"casa,savings account,Insurance Sales,cross selling,acquisition manager,relationship manager,dmat,mutual funds sales,lead generation,current account,senior sales officer,branch banking"
Software Developer,"C,Multithreading,SWIFT,Objective C,iOS,Performance Tuning"
Webmaster,"IT services,PPC,Technical analysis,SMO,Social media,Content writing,Link building,Management,SEO Executive,international clients"
Area Sales Manager,"Area Sales Manager,asm,area manager,territory manager,Area Sales Officer,Business Development,Business Development Manager,Business Development Executive,Negotiation,Interpersonal Communication,Excel,Email,Cold Calling"
Accounts Executive/Accountant,Accounting
Accounts Manager,"Financial reporting,IFRS,Auditing,Automation,Billing,Financial operations,Management,Stakeholder management,Management reporting,Quest"
Software Developer,"SAP,Javascript"
Software Developer,"Java,Hibernate,CSS,HTML,Spring,Microservices,Web Services,SQL"
Graphic Designer,"Motion Graphics Artist,Motion Graphic Designer,Motion Graphics,Cinema 4D,3D Max"
Outside Technical Consultant,"Javascript,Change management,Computer science,Loans,OLTP,data security,NoSQL,cassandra,Spring framework,Software development life cycle"
Software Developer,"XCode,Objective C,IOS,SQLite,Swift,Parsing,JSON,XML,Web Services,Web Technologies,Ios Development,iPhone Development,iPhone Developer"
Retail Store Manager,"Sales,Retail Sales,Store Sales,Merchandising,Store Supervisor"
Database Architect/Designer,IT Management
Purchase Executive,"Help Desk,Customer Service,customer relationship,access controls,Asset Management,Vendor Management"
Recruitment Manager,"Executive Search,recruitment consulting,Human Resource Management,HR Manager,retail,HR Recruiter,Talent Acquisition"
Testing Engineer,"Software testing,Analyst,Manual testing,Project management,Test management,Test cases,Defect management,Supervision,Monitoring"
Software Developer,"design,c++,website,C,HTML,mca,coding,MySQL,JavaScript,oops,mvc"
Team Lead/Technical Lead,"Android SDK,NDK,JNI,Android,UI design"
Sales/Business Development Manager,"Fire Alarm System,Lead Generation,Sales,Access Control,Security,CCTV"
Treasury Manager,"GL,Ap,Fixed Assets,General Ledger,SAP"
Documentation/Medical Writing,"Anesthesia,Medical Coder,Medical Coding"
IT/Technical Content Developer,"powershell,powershell scripting"
Financial Analyst,"Cash flow,Private equity,Administration,Analytical,Networking,pricing analysis,Equity Funds,Valuation analysis,Portfolio valuation,Software packages"
Copywriter,"editorial,content development,content writing,seo writing,Copy Writing,articles,copy editing,feature writing,proof reading,writing skills"
Quality Assurance/Quality Control Executive,"Cylinders,Hydraulics,Quality Inspection,Quality Control,Quality Assurance,Quality Engineering,Quantity Surveyor,Quality Inspector,Mechanical Engineering,ITI,Dme,Mechanical Engineer"
Software Developer,"CSS,Software Development,Service Operations Management,Servicenow,Web Technologies,Javascript,HTML,ITIL,Agile Development,Web Services"
Lecturer/Professor,"Economics,CVS,Copy writing,Academic Research,Online marketing,Marketing operations,HRD,Research,Econometrics,Rural marketing"
Software Developer,"continuous integration,Networking,WiFi,QA,Architecture,Infrastructure"
Software Developer,"Performance tuning,Management systems,Debugging,Database administration,Service,ASP.Net,Application development,Stored procedures,Business intelligence,Sharepoint"
Software Developer,"SS7,INAP,TCAP,Diameter,Shell Scripting,SNMP,PLSQL"
Solution Architect / Enterprise Architect,"Technical Architect,HTML 5,Java,Hibernate,Spring MVC,Design Patterns,J2EE,Spring Boot,Spring,Solution Architect,CSS3,Multithreading,JUnit,RDBMS"
HR Business Partner,"HRBP,HR Manager,hr generalist,HR,Assistant Manager HR,deputy manager hr"
Clinical Research Associate/Scientist,"biotechnology,bhms,pharmaceutical,plant biotechnology,botany,microbiology,nursing,food&nutrition,bams,biomedical,healthcare,medical coding,biochemistry,bioinformatics,pharmacy,bsms,zoology"
Technical Architect,"Architect,Web development,HTML,Agile,Python,Business Executive,Scrum,jQuery,Database,Programming"
Analytical Chemistry Associate/Scientist,"Dissolution Apparatus,UV,Karl Fischer,TRAINEE,ADL,GLP,GMP,HPLC"
Key Account Manager,"Key Account Management,Sales,B2B Sales,Sales Strategy,Business Development,Marketing,Partner Management,Relationship Management,Business Strategy,Portfolio Management,Account Management,Program Management,Negotiation Skills"
Sales/Business Development Manager,"Consumer Durables,B2B Sales,New Business,Business Development Management,New Product,Report Writing,Marketing"
HR Executive,"Payroll processing,HR Administrator,Employee grievances,Payment followup,Scheduling,Termination,Grievance handling,Exit interviews,Monitoring,admin executive"
Associate/Senior Associate -(NonTechnical),"Medical,Technical support,Outbound,Antivirus,Comp,Inbound voice process,technical sales associate,International BPO,Sales,US shift"
Software Developer,"Troubleshooting,Maven,Postgresql,Distribution system,Backend,GIT,cassandra,SCALA,neo4j,Design development"
Outside Consultant,"dealing,auditing,customer relationship,service catalog,subject matter expertise"
Corporate Communication Executive,"Customer Service,Help Desk,Information,Telephony support,customer relationship,access controls,Vendor Management,Asset Management"
Associate/Senior Associate -(NonTechnical),"client servicing,client support,background verification,client coordination"
Software Developer,"Coding,Wordpress,Commerce,HTML,Troubleshooting"
Associate/Senior Associate -(NonTechnical),"Data analysis,Investment banking,Financial services,Data management,Change management,Cash management,Asset management,Analytical,Cognos,Operations"
Software Developer,"PHP,MVC,Laravel,AWS,SDLC,Wordpress,LAMP,OOPS,MySQL,MVC framework"
Sales/Business Development Manager,"Networking,Printing,Aerospace,Raw material,Surface treatment,human capital,Ground handling,hr solutions,Assistant Manager Quality,HR"
Software Developer,"Android SDK,Content Development,Application Development"
Purchase/Vendor Development Manager,"Procurement,After sales service,Quality check,Pumps,Electronic components,Standard operating procedures,thermal,Customer experience,Refrigeration,Techno-commercial"
Project Manager-Production/Manufacturing/Maintenance,"Customer Service,Help Desk,Information,Telephony support,customer relationship,access controls,Vendor Management,Asset Management"
Sales Executive/Officer,"field sales,insurance sales,direct sales,corporate sales,institutional sales,bfsi sales,banking sales,financial sales,demat sales"
Product Designer,"CSS,UX,UI,Illustrator,Javascript,HTML,Photoshop"
Project Manager-IT/Software,"HTML,Javascript,CSS,jQuery"
Technical Support Manager,"TCP,Environmental Monitoring,Monthly Reports,Linux,Use Cases,SOC,IP Networking,Security Operations,IT Security"
Operations Executive,"Ticketing,Airlines,Tours,Costing,English,Domestic,Senior Executive,Com,Tour packages,Email"
Lab Technician/Medical Technician/Lab Staff,"Manager Technology,Schedule,life,NABH,WHO,Medical Representative,Com,plastic surgery,RAM,blogs"
Fresher,"bba fresher,bba graduate,accounting,finance,bpo,Claims Processing,ESI,statutory compliance"
Recruitment Executive,"Consulting,Project delivery,Web services,Manager Technology,Management,Testing,AWS"
ERP Consultant,"sap fico implementation,sap security,sod,sap implementation,HANA,SAP HANA,sap fico,grc,ecatt"
Business Analyst,"Mba,Business Analysis,Business Process,Process Flow,Supply Chain,Communication Skills"
Bio-Technical Research Associate/Scientist,"Life Sciences,R&D,installation"
Business Analyst,"dedicated,product,software development,documentation,payments,scope,prepaid,atm,enhancement,monitoring"
Team Lead/Technical Lead,"DFT,USB,Ethernet,Timing closure,Macros,IPS,Logic design,Architecture,RTL,RTL design"
Software Developer,"Linux,Networking,Windows,SAP ERP,erp,sap,technical,Management Representative,Transport management,SAP Basis"
Product Development Manager,"agriculture,seed,agronomy,crop,Fertilizer"
Associate/Senior Associate -(NonTechnical),"BPO,Outbound,Technical support,Sales,Spot,Inbound calls,US shift,Antivirus,Medical,Comp"
Associate/Senior Associate -(NonTechnical),"Analytical skills,Relationship building,Risk management,MIS reporting,Supervisor,Compliance,Management,Cost control,Trade processing"
Software Developer,"Design Development,PHP,Laravel"
Business Analyst,"Front office,Data analysis,SQL,MS Office,Forecasting,Macros,Budgeting,Change management,Risk management,Balance Sheet"
Sales Executive/Officer,"marketing,Field Sales,business development,sales"
Marketing Manager,"digital marketing,marketing campaigns,e - commerce,bidding,lead generation,facebook,cps,advertising,social media"
Project Manager-IT/Software,"PMP,Process management,People management skills,Project Analyst,Web technologies"
Software Developer,"assembly language,Six Sigma,PMP,JavaScript,.NET,HTML,Oracle,Python,SQL"
Software Developer,"SAP ABAP,Smartforms,Abap Objects,Adobe Forms,Enhancements,Workflow,Interfaces,ISU,Technical Design,Business Solutions"
Audit Manager,"accounting,ifrs,us gaap,auditing,indian gaap,statutory audit,ca"
Accounts Executive/Accountant,"Accounting,TDS,VAT,Creditors Reconciliation,Taxation,Debtors,Petty Cash Book,Tally,Sales,Account Management"
Team Lead/Technical Lead,"Java,R,RDBMS,Web Technologies,Javascript,Data Mining,Spark,Hdfs,Web Services,Analytics"
Software Developer,"Unix,SCALA,Banking,Investment banking,Asset management,Technology solutions,big data,Financial services,SQL,Python"
Sales/Business Development Manager,"LubricantsProcess AssociateCopyright,Automobile components,hr solutions,Technical marketing,Business Executive,ISO 9001"
Senior Outside Consultant,"IT Audit,SOX Compliance,IT Risk,ITGC,technology risk,SOX"
Sales/Business Development Manager-Forex,"Business Acquisition,Sales,B2B Sales"
Associate/Senior Associate -(Technical),"BPO,Help Desk,Customer Service,data analysis,customer relationship,Legal,Intellectual Property,Vendor Management,access controls,Technology,Asset Management,ITES,account,CRM"
Software Developer,"Core Java,Hibernate,JSP,Spring"
Sales Executive/Officer,"sales management,marketing,Customer Relationship,New Client Acquisition,Lead Generation,sales manager,Client Servicing,business development,field sales"
Software Developer,"SQL,XML,Core Java,JSON,Android SDK,google maps,Mobile applications,Web services"
Telecalling/Telemarketing Executive,"Communication Skills,Spoken English,Customer Support,Night Shift"
Accounts Executive/Accountant,"Accounts,Accountant,Finance,Tax,Audit,Commerce,CA,Tally"
Content Developer,"Article writing,Digital marketing"
Industrial/Labour Relations Manager,"statutory compliance,ir,labour laws,Legal Compliance,contract labour"
Software Developer,"Web Technologies,PHP,Web Development"
Software Developer,"IOS,XML,Multithreading,Data structures,Debugging,JSON,Test cases,SDK,SQLite,Agile methodology"
Accounts Executive/Accountant,"oracle,order management,handling,payroll,intelligence,ms office"
Search Engine Optimisation /SEO Specialist,"PPC,Google Analytics,MIS,Back office support,Link exchange,SEM,Office management,Customer service,SEO,Information technology"
Associate/Senior Associate -(NonTechnical),"Asset management,Risk management,Logistics,Business services,Process automation,Regulatory reporting,Quality check,Subject matter expertise,Management,Operations"
Assistant Professor,"Counselor,Mentor,Trainer,Lecturer,Teaching"
Software Developer,"Core Java,Coding,Application programming,Packaging,Unit testing,Asset management,Risk management,Analytics,Financial services,SQL"
Team Lead/Technical Lead,"mule esb,mule - esb"
Software Developer,"Android Studio,Android Development,GIT"
Team Lead/Technical Lead,"spring,websphere,primefaces,design patterns,j2ee,jee,jsf,hibernate,core java"
Software Developer,"CSS,LINQ,MVC Framework,Javascript,Bootstrap,HTML,Entity Framework,JSON,JQuery,Ajax"
Software Developer,"Magento,eCommerce,Javascript,jQuery,Magento Developer"
Software Developer,"React.js,Javascript,API"
Quality Assurance/Quality Control Executive,"Hospitality,Automation testing,Manual testing,Software quality testing,hotel operations,Back office,Test cases,Application software,Testing"
Testing Engineer,"Product quality,Software testing life cycle,Software testing,Automation,Load testing,Quality testing,Test cases"
Software Developer,"development,web design,diploma,c,technical,software,mobile,graphics,iphone,javascript,cocoa,software programming,objective c,multimedia,usability,ui,web,design,web development,support,programming"
Software Developer,ASP.Net MVC
Finance Executive,"finance,financial reporting,accounts payable,expenses,gst,tds,Invoicing,Reconciliation,general ledger"
Search Engine Optimisation /SEO Lead,"Help Desk,Customer Service,customer relationship,access controls,Asset Management,Vendor Management"
Regional Manager,"Business Planning,Lead Generation,B2C Sales,Telesales,business strategy,Online Marketing,Inside Sales,Business Development,Market Research,Customer Handling,Customer Acquisition"
Sales/Business Development Manager,"business development management,digital marketing,sales planning,growth strategy,profit growth,corporate strategy,advertising,business growth,international marketing,international business development,international sales,international business"
Software Developer,"css,Illustrator,photoshop,HTML,Process Flows"
Recruitment Executive,"IT Recruitment,International Recruitment,Non IT Recruitment,it recruiter,HR Consultant"
Software Developer,"Coding,Engine development,H264,RTSP,Application development,HTTP,Open source,Adobe,Android"
Insurance Analyst,"Business analysis,Analytical,Functional testing,Agile,Scrum,Business Analyst,Usage"
Recruitment Executive,"Recruitment,Networking,Scheduling,Machine learning,Competitive intelligence,Lead Talent Acquisition,data integrity,Research,Management systems,Management"
Associate/Senior Associate -(NonTechnical),"bpo,voice process,customer service,night shift,non voice,bpos,calling,domestic,fresher"
Associate/Senior Associate -(Technical),"voice process,international bpo,CSR,configuration,customer service,Technical Support,outbound process,customer care,technical support executive,customer support"
Technical Architect,"Process Associate,Web services,AWS,Architect,Business Executive,Architecture"
HR Executive,"HR Generalist Activities,Grievance Handling,Payroll,HR Administration,ESIC,Bonus,Hr Compliance,Leave Management,Recruitment,Salary Preparation"
Telecalling/Telemarketing Executive,"Technical support,Sales Associate,Technical,Bonus,US shift,International BPO,Inbound calls,Issue,Software"
Textile Designer,"typography,game,illustration,faculty,animation"
Interior Designer,"modular kitchen,doors,handles"
Software Developer,"Procurement,Accounting,GL,Expenses,Finance,Accounts Payables,Payables,Oracle Fusion,CM,P2P,AR,Oracle Support,FA,Taxation,Fusion,BPM"
Staffing Specialist/ Manpower Planning,"client acquisition,executive search,head hunting,mapping,Construction,Power,engineering,Automotive,epc,FMCG,FMCD,Bfsi,banking,financial services,NBFC"
Sales/Business Development Manager,"Forex,Broking,Liabilities,Relationship,Financial planning,Flex,Service,HTTP,Cross selling,Financial services"
Graphic/Web Designer,Web technologies
DBA,"SQL,Oracle,Linux,Windows,Technical support,Database administration,Performance tuning,HTTP,Debugging,Consulting"
